"rm_id","rm_name","dt","n_baseline","n_crisis","percent_change","pct_estimated"
"79688334B17077666187877","Nuwakot","2026-08-26_0000",6491.0,3047.0,-53.06,0.0
"79688334B17077666187877","Nuwakot","2026-08-26_0800",3136.0,1412.0,-54.97,0.0
"79688334B17077666187877","Nuwakot","2026-08-26_1600",5271.0,2755.0,-47.73,0.0
"79688334B17077666187877","Nuwakot","2026-08-27_0000",7528.0,5641.0,-25.07,0.0
"79688334B17077666187877","Nuwakot","2026-08-27_0800",4791.0,3876.0,-19.1,0.0
"79688334B17077666187877","Nuwakot","2026-08-27_1600",6247.0,4758.0,-23.83,0.0
"79688334B17077666187877","Nuwakot","2026-08-28_0000",7669.0,7120.0,-7.17,0.0
"79688334B17077666187877","Nuwakot","2026-08-28_0800",5030.0,4724.0,-6.08,0.0
"79688334B17077666187877","Nuwakot","2026-08-28_1600",6841.0,6640.0,-2.94,0.0
"79688334B17077666187877","Nuwakot","2026-08-29_0000",8523.0,8057.0,-5.47,0.0
"79688334B17077666187877","Nuwakot","2026-08-29_0800",5074.0,4585.0,-9.64,0.0
"79688334B17077666187877","Nuwakot","2026-08-29_1600",7149.0,6701.0,-6.27,0.0
"79688334B17077666187877","Nuwakot","2026-08-30_0000",8570.0,7871.0,-8.16,0.0
"79688334B17077666187877","Nuwakot","2026-08-30_0800",5251.0,4776.0,-9.05,0.0
"79688334B17077666187877","Nuwakot","2026-08-30_1600",7268.0,6629.0,-8.79,0.0
"79688334B17077666187877","Nuwakot","2026-08-31_0000",9048.0,8266.0,-8.64,0.0
"79688334B17077666187877","Nuwakot","2026-08-31_0800",5092.0,4086.0,-19.75,0.0
"79688334B17077666187877","Nuwakot","2026-08-31_1600",7324.0,6281.0,-14.24,0.0
"79688334B17077666187877","Nuwakot","2026-09-01_0000",9238.0,8012.0,-13.28,0.0
"79688334B17077666187877","Nuwakot","2026-09-01_0800",5105.0,4364.0,-14.51,0.0
"79688334B17077666187877","Nuwakot","2026-09-01_1600",7684.0,7359.0,-4.23,0.0
"79688334B17077666187877","Nuwakot","2026-09-02_0000",9348.0,8867.0,-5.14,0.0
