lon,lat,2026-08-26_0000,2026-08-26_0800,2026-08-26_1600,2026-08-27_0000,2026-08-27_0800,2026-08-27_1600,2026-08-28_0000,2026-08-28_0800,2026-08-28_1600,2026-08-29_0000,2026-08-29_0800,2026-08-29_1600,2026-08-30_0000,2026-08-30_0800,2026-08-30_1600,2026-08-31_0000,2026-08-31_0800,2026-08-31_1600,2026-09-01_0000,2026-09-01_0800,2026-09-01_1600,2026-09-02_0000,2026-09-02_0800,2026-09-02_1600,2026-09-03_0000,2026-09-03_0800,2026-09-03_1600,2026-09-04_0000,2026-09-04_0800,2026-09-04_1600,2026-09-05_0000,2026-09-05_0800,2026-09-05_1600,2026-09-06_0000,2026-09-06_0800,2026-09-06_1600
84.91333,27.771051,,,,,,,,,,-13.01,,,-28.65,,,-11.74,,,,,,,,25.58,,,,,,,,-11.41,,,,
84.91333,27.790491,-56.34,-65.0,-56.79,-63.49,-43.65,-43.32,-40.77,-26.96,-46.09,-30.04,-33.7,,-20.76,-26.87,-38.72,-31.59,-44.59,-31.44,-23.96,-43.24,-31.33,-24.37,-10.44,,,-10.83,,-10.88,,,,,,,-34.37,-13.65
84.91333,27.809927,-60.56,-70.44,-66.94,-63.91,-42.49,-38.29,-28.84,-39.04,-39.35,-33.28,-43.72,,-19.38,-28.82,-32.74,-46.78,-58.97,-32.31,-23.15,-38.8,-32.59,-39.26,-19.38,,-12.77,-20.79,,-20.87,-17.75,-10.76,,-14.69,,-10.74,-38.21,-19.15
84.91333,27.82936,-54.37,,-58.65,-61.32,-38.19,-32.84,-25.66,-30.97,-33.37,-24.83,-37.51,-14.24,,-24.52,-17.05,-40.99,,-23.13,-18.3,-21.0,-18.81,-12.6,,,-12.08,-12.79,,-21.88,-11.86,,,,,,-21.66,
84.91333,27.84879,,,,,,,-14.41,,,,,,-13.02,,,,,-11.99,,,-10.53,,,,,,,-11.93,,,-15.24,,,-14.73,,-16.49
84.91333,27.868216,15.66,,,,10.96,,,-11.6,,15.66,-10.9,,,,,,16.41,12.26,,10.99,,,,,,,,13.89,,,,-14.2,,,,
84.91333,27.887639,11.39,18.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.29,
84.91333,27.907058,13.72,13.15,10.96,,,,,,10.16,,,,,,,,,,,,,,,,,,,,,,10.14,,,,,
84.91333,27.945886,12.39,,11.69,,,-11.43,,,,,,,,,10.88,,-11.39,,,,,,,,-10.95,-11.79,-13.08,,,,,-15.69,,,-10.18,
84.91333,27.965294,,,,,,,-13.18,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.62,,
84.91333,27.9847,,,,,,,,,,,,,,,,-17.22,,,,,,,,,,,,,,,,,,,,
84.91333,28.004101,-15.8,,,,,-18.19,-29.77,,,,,-13.57,-16.48,,,-12.83,,-12.79,-13.19,,,,,,,,-10.32,-11.46,,,,,,-13.76,,
84.91333,28.0235,,,27.73,33.45,,,-12.19,,,,,,,,,,,14.11,-19.53,,,,,,,,,-12.51,,,,,,,,
84.91333,28.062286,-11.15,-13.72,,,,-27.12,-37.54,,-20.0,,-23.59,-37.43,-19.4,-19.16,,,12.29,-14.98,-23.26,,-26.85,,29.73,26.66,,10.03,,-10.36,-20.2,-16.11,,,,,-26.11,-19.89
84.91333,28.081673,,,,,,,,,,,,,,,,,,,,,,,,51.18,27.68,,,,,,,,,,,
84.935303,27.751607,,,,,,,,,,-11.18,,,,,,,,,,,,-16.98,,,,,-13.14,,,-16.85,,,,-15.71,,
84.935303,27.771051,,,,,,,,,,-30.35,-25.9,-28.01,,,-34.18,,-29.64,-45.0,-39.7,,-43.89,,-10.11,20.24,,,-10.99,,,,,-23.08,,,-23.08,
84.935303,27.790491,-64.5,,,,-57.57,-55.46,-50.16,-43.34,-54.52,-38.62,-43.23,-34.86,-19.08,-23.03,-18.27,-15.36,-30.82,-33.15,-17.52,-32.13,-20.68,-19.42,-24.8,,,-20.21,,,,-10.61,,-22.9,-11.85,,-29.64,-14.85
84.935303,27.809927,-58.03,-74.3,-76.3,-75.11,-44.97,-37.63,-26.16,-26.38,-31.47,-26.84,-43.99,-31.78,,,,-14.99,-32.64,-21.59,,-16.1,,-17.29,,,-10.72,-15.48,,-13.42,-12.4,-13.99,-11.58,-13.91,,,-22.18,
84.935303,27.82936,-62.09,,,,-49.13,-46.54,-36.94,-43.57,-33.58,-31.38,-49.4,-39.27,-15.38,-19.5,,-30.94,,-23.23,,-16.17,-11.37,-19.44,,,-13.04,,-10.29,-15.54,-12.05,-11.76,,-10.2,,,-16.71,
84.935303,27.84879,,,,,,,-17.83,,,,,,-11.04,,,-11.97,,,,,,,,,,,,,,,,,,,,
84.935303,27.868216,-13.33,,,,,-17.73,-18.61,,,-12.64,-14.86,,,,12.92,10.73,,,,,,,,,,,,,-11.6,,,-20.33,-15.32,,,
84.935303,27.887639,,,,,,,,,13.91,,,,,29.78,,,13.73,,,10.18,,,,,,,10.95,11.11,,,,,,,,
84.935303,27.907058,18.77,23.76,16.23,,,,10.84,11.59,12.68,,,,,,,,-13.38,,,,,,,,,,10.24,,,,,-12.1,,,-14.34,
84.935303,27.926474,11.52,,10.14,,,,15.48,,13.5,-11.14,-12.09,,,12.46,,,-20.23,,,-10.27,,,,,,,,10.79,-10.81,,,-16.05,,,,
84.935303,27.945886,,,28.42,,,,,,,,,36.8,,,,,,,,,,10.82,,,,,13.91,,,,,,32.74,,,
84.935303,27.965294,,,,,,,,,,,,,,,,,,,,,,,,,-12.26,,,,,,-15.58,,,-15.01,,
84.935303,28.042894,,,,,,,,,,,,,,,,-13.45,,,-13.1,,,,,,,,,,,,,,13.23,,,-12.82
84.935303,28.062286,,,,-22.64,,,-17.07,,,,,,,,,-19.06,,,,,,-14.63,,,-18.18,,11.94,,,,,,,,,
84.957275,27.771051,,,,,,,,,,,,-20.94,-28.47,,,,,,-12.25,,-16.97,,,15.15,,,,,,,,,,-10.82,,
84.957275,27.790491,-49.68,,-55.03,-52.57,-28.32,-35.89,-38.88,-28.68,-32.94,-21.17,,-36.42,-17.27,-19.35,-19.96,-16.1,-30.65,-31.79,-13.75,-26.07,-21.15,-17.9,-14.17,,-11.09,-16.98,,-12.29,-11.51,-11.61,,-12.57,,,-19.72,
84.957275,27.809927,-57.57,-63.09,-63.29,-63.92,-35.09,-47.38,-42.64,-39.99,-37.67,-34.91,-36.03,-43.11,-25.76,-20.87,-23.88,-24.63,-33.08,-35.35,-19.27,-34.3,-21.6,-23.68,-18.15,-18.43,-26.5,-19.87,-21.34,-26.51,-23.67,-20.17,-21.56,-22.21,-22.27,-17.12,-31.99,-12.61
84.957275,27.82936,-57.72,-56.09,,-57.43,-42.65,-44.35,-44.15,-39.8,-27.53,-32.91,-48.04,-42.13,-16.8,-10.48,,-22.57,-31.55,-20.45,,-21.67,-11.23,-13.17,,,-16.95,-13.01,,-17.45,-17.3,,,,-15.44,,-24.35,
84.957275,27.84879,,,,,,,,,,,,,,,-10.07,-24.35,,,,,,,,,-25.57,,,,,,,,,,,
