dt,lon,lat,percent_change
2026-08-26_0000,85.550537,27.907058,18.58
2026-08-26_0000,85.24292,27.82936,-22.25
2026-08-26_0000,85.264893,27.771051,13.88
2026-08-26_0000,84.979248,27.790491,-17.16
2026-08-26_0000,84.935303,27.809927,-58.03
2026-08-26_0000,85.57251,27.82936,10.11
2026-08-26_0000,85.045166,27.73216,13.48
2026-08-26_0000,85.57251,27.790491,24.53
2026-08-26_0000,85.045166,27.71271,13.39
2026-08-26_0000,85.286865,27.751607,11.21
2026-08-26_0000,85.528564,27.790491,19.57
2026-08-26_0000,85.550537,27.790491,12.32
2026-08-26_0000,85.286865,27.809927,19.19
2026-08-26_0000,85.352783,27.926474,-54.69
2026-08-26_0000,85.462646,27.84879,10.37
2026-08-26_0000,85.24292,27.887639,-76.27
2026-08-26_0000,85.506592,27.790491,15.37
2026-08-26_0000,85.264893,27.751607,11.78
2026-08-26_0000,85.506592,27.887639,18.57
2026-08-26_0000,85.836182,27.71271,21.02
2026-08-26_0000,85.264893,28.120438,-45.3
2026-08-26_0000,85.6604,27.907058,44.49
2026-08-26_0000,85.133057,27.887639,-65.27
2026-08-26_0000,85.528564,27.82936,15.09
2026-08-26_0000,85.638428,27.71271,12.74
2026-08-26_0000,85.638428,27.9847,24.65
2026-08-26_0000,85.704346,27.73216,15.22
2026-08-26_0000,85.111084,27.945886,-76.65
2026-08-26_0000,85.001221,27.82936,-37.93
2026-08-26_0000,85.220947,28.004101,-86.81
2026-08-26_0000,85.6604,27.790491,17.25
2026-08-26_0000,85.308838,27.868216,-48.69
2026-08-26_0000,85.594482,27.790491,21.9
2026-08-26_0000,84.935303,27.926474,11.52
2026-08-26_0000,84.91333,27.945886,12.39
2026-08-26_0000,85.374756,27.926474,-46.74
2026-08-26_0000,85.6604,27.887639,14.06
2026-08-26_0000,85.264893,27.809927,13.55
2026-08-26_0000,85.836182,27.751607,16.19
2026-08-26_0000,85.770264,27.751607,17.97
2026-08-26_0000,84.91333,27.868216,15.66
2026-08-26_0000,85.133057,27.907058,-50.42
2026-08-26_0000,85.177002,27.945886,-79.57
2026-08-26_0000,85.308838,27.809927,13.86
2026-08-26_0000,85.111084,27.84879,-76.2
2026-08-26_0000,85.814209,27.771051,10.71
2026-08-26_0000,85.286865,27.790491,13.04
2026-08-26_0000,85.616455,27.82936,14.24
2026-08-26_0000,85.550537,27.887639,17.43
2026-08-26_0000,85.133057,27.751607,16.53
2026-08-26_0000,85.286865,27.771051,12.98
2026-08-26_0000,85.330811,27.887639,-37.76
2026-08-26_0000,85.6604,27.965294,17.38
2026-08-26_0000,85.462646,27.751607,11.56
2026-08-26_0000,85.770264,27.790491,19.13
2026-08-26_0000,85.089111,27.868216,-79.25
2026-08-26_0000,85.001221,27.809927,-14.28
2026-08-26_0000,85.396729,27.926474,-59.65
2026-08-26_0000,85.045166,27.84879,-78.74
2026-08-26_0000,85.57251,27.809927,12.54
2026-08-26_0000,85.220947,27.945886,-78.41
2026-08-26_0000,85.594482,27.809927,15.55
2026-08-26_0000,85.220947,27.751607,14.47
2026-08-26_0000,85.286865,28.101058,-45.02
2026-08-26_0000,85.177002,27.907058,-52.45
2026-08-26_0000,85.308838,28.120438,-38.17
2026-08-26_0000,85.462646,27.771051,11.44
2026-08-26_0000,85.528564,27.926474,10.23
2026-08-26_0000,85.330811,27.84879,-38.24
2026-08-26_0000,84.957275,27.907058,-14.16
2026-08-26_0000,84.91333,27.809927,-60.56
2026-08-26_0000,85.770264,27.82936,14.83
2026-08-26_0000,85.308838,27.84879,-40.29
2026-08-26_0000,85.638428,27.926474,25.61
2026-08-26_0000,85.198975,27.926474,-69.2
2026-08-26_0000,85.308838,27.790491,12.32
2026-08-26_0000,85.089111,27.887639,-72.78
2026-08-26_0000,85.57251,27.751607,14.15
2026-08-26_0000,85.24292,27.907058,-80.43
2026-08-26_0000,85.748291,27.790491,14.82
2026-08-26_0000,85.133057,27.868216,-67.6
2026-08-26_0000,85.264893,27.868216,-57.45
2026-08-26_0000,85.155029,27.945886,-79.35
2026-08-26_0000,85.155029,27.926474,-69.56
2026-08-26_0000,85.308838,27.771051,11.89
2026-08-26_0000,85.286865,27.887639,-64.91
2026-08-26_0000,85.198975,27.887639,-64.39
2026-08-26_0000,85.594482,27.771051,13.26
2026-08-26_0000,85.57251,27.84879,10.31
2026-08-26_0000,85.770264,27.907058,11.11
2026-08-26_0000,85.067139,27.751607,17.15
2026-08-26_0000,85.330811,27.868216,-46.53
2026-08-26_0000,85.155029,27.751607,13.87
2026-08-26_0000,85.792236,27.771051,28.26
2026-08-26_0000,85.264893,27.790491,11.23
2026-08-26_0000,85.748291,27.71271,23.41
2026-08-26_0000,85.133057,27.926474,-66.98
2026-08-26_0000,85.308838,27.907058,-59.95
2026-08-26_0000,85.484619,27.771051,10.76
2026-08-26_0000,85.220947,27.82936,-49.82
2026-08-26_0000,85.155029,27.907058,-46.69
2026-08-26_0000,84.957275,27.82936,-57.72
2026-08-26_0000,85.286865,27.907058,-67.53
2026-08-26_0000,85.198975,27.945886,-74.23
2026-08-26_0000,85.286865,27.84879,-38.29
2026-08-26_0000,85.748291,27.771051,14.3
2026-08-26_0000,84.935303,27.790491,-64.5
2026-08-26_0000,85.308838,28.101058,-54.08
2026-08-26_0000,85.089111,27.771051,12.48
2026-08-26_0000,85.704346,27.71271,22.38
2026-08-26_0000,85.023193,27.790491,-10.15
2026-08-26_0000,85.396729,27.84879,-15.52
2026-08-26_0000,84.91333,28.062286,-11.15
2026-08-26_0000,85.155029,27.771051,-27.19
2026-08-26_0000,85.067139,27.84879,-81.25
2026-08-26_0000,85.748291,27.809927,12.61
2026-08-26_0000,84.957275,27.790491,-49.68
2026-08-26_0000,85.396729,27.945886,-52.71
2026-08-26_0000,85.616455,27.771051,20.59
2026-08-26_0000,85.528564,27.907058,19.54
2026-08-26_0000,85.198975,28.004101,-86.47
2026-08-26_0000,85.198975,27.751607,11.4
2026-08-26_0000,85.308838,27.751607,10.33
2026-08-26_0000,85.308838,27.887639,-59.56
2026-08-26_0000,85.748291,27.868216,19.16
2026-08-26_0000,85.550537,27.84879,10.83
2026-08-26_0000,85.220947,27.907058,-77.96
2026-08-26_0000,85.264893,27.82936,-10.51
2026-08-26_0000,85.638428,27.907058,15.02
2026-08-26_0000,85.462646,27.82936,19.14
2026-08-26_0000,85.57251,27.71271,12.01
2026-08-26_0000,84.957275,28.004101,-26.12
2026-08-26_0000,84.935303,27.82936,-62.09
2026-08-26_0000,85.418701,27.84879,-36.88
2026-08-26_0000,84.91333,27.907058,13.72
2026-08-26_0000,85.023193,27.809927,-30.25
2026-08-26_0000,85.198975,27.790491,-36.13
2026-08-26_0000,85.198975,27.771051,-17.62
2026-08-26_0000,85.155029,27.887639,-61.2
2026-08-26_0000,84.91333,28.004101,-15.8
2026-08-26_0000,85.528564,27.73216,10.91
2026-08-26_0000,84.91333,27.887639,11.39
2026-08-26_0000,85.177002,27.887639,-58.07
2026-08-26_0000,85.814209,27.73216,12.9
2026-08-26_0000,85.616455,27.790491,10.98
2026-08-26_0000,85.286865,27.868216,-54.14
2026-08-26_0000,85.177002,27.926474,-62.73
2026-08-26_0000,85.286865,28.120438,-35.33
2026-08-26_0000,85.594482,27.82936,10.67
2026-08-26_0000,85.111084,27.868216,-70.17
2026-08-26_0000,85.528564,27.887639,21.55
2026-08-26_0000,85.792236,27.945886,-31.89
2026-08-26_0000,84.957275,27.809927,-57.57
2026-08-26_0000,85.770264,27.73216,16.19
2026-08-26_0000,85.748291,27.73216,15.07
2026-08-26_0000,85.6604,27.73216,-13.54
2026-08-26_0000,85.24292,27.84879,-46.03
2026-08-26_0000,85.770264,27.868216,-12.06
2026-08-26_0000,85.57251,27.907058,12.18
2026-08-26_0000,85.726318,27.71271,34.74
2026-08-26_0000,85.220947,27.809927,-39.04
2026-08-26_0000,85.133057,27.945886,-75.38
2026-08-26_0000,85.330811,27.926474,-64.69
2026-08-26_0000,84.91333,27.82936,-54.37
2026-08-26_0000,85.198975,27.907058,-60.18
2026-08-26_0000,85.484619,27.809927,10.95
2026-08-26_0000,85.198975,27.9847,-88.86
2026-08-26_0000,85.177002,27.771051,-43.51
2026-08-26_0000,85.111084,27.887639,-68.03
2026-08-26_0000,84.935303,27.868216,-13.33
2026-08-26_0000,85.220947,27.790491,-13.12
2026-08-26_0000,85.396729,27.907058,-27.33
2026-08-26_0000,85.792236,27.73216,14.82
2026-08-26_0000,85.814209,27.751607,13.95
2026-08-26_0000,84.91333,27.790491,-56.34
2026-08-26_0000,85.726318,27.73216,18.73
2026-08-26_0000,85.682373,27.71271,20.81
2026-08-26_0000,85.594482,27.73216,12.15
2026-08-26_0000,85.638428,27.771051,22.68
2026-08-26_0000,85.220947,27.887639,-60.81
2026-08-26_0000,85.6604,27.9847,113.17
2026-08-26_0000,85.023193,27.82936,-61.42
2026-08-26_0000,85.352783,27.868216,-51.82
2026-08-26_0000,85.726318,27.751607,10.39
2026-08-26_0000,85.770264,27.771051,20.42
2026-08-26_0000,85.594482,27.84879,15.24
2026-08-26_0000,85.133057,27.84879,-70.94
2026-08-26_0000,85.308838,28.139815,-56.87
2026-08-26_0000,85.57251,27.73216,11.44
2026-08-26_0000,85.286865,27.926474,-58.19
2026-08-26_0000,84.979248,27.809927,-39.74
2026-08-26_0000,85.638428,27.790491,14.03
2026-08-26_0000,85.089111,27.790491,-12.97
2026-08-26_0000,85.111084,27.926474,-66.59
2026-08-26_0000,85.308838,27.926474,-56.69
2026-08-26_0000,85.155029,27.868216,-68.63
2026-08-26_0000,85.177002,27.868216,-62.23
2026-08-26_0000,85.264893,27.907058,-69.01
2026-08-26_0000,85.550537,27.771051,16.11
2026-08-26_0000,85.264893,27.887639,-72.95
2026-08-26_0000,85.836182,27.73216,15.87
2026-08-26_0000,84.935303,27.907058,18.77
2026-08-26_0000,85.6604,27.771051,13.42
2026-08-26_0000,85.374756,27.82936,37.51
2026-08-26_0000,85.330811,27.809927,10.77
2026-08-26_0000,85.067139,27.71271,13.34
2026-08-26_0000,85.111084,27.907058,-58.86
2026-08-26_0000,85.748291,27.751607,20.75
2026-08-26_0000,85.528564,27.868216,18.73
2026-08-26_0000,85.6604,27.71271,23.79
2026-08-26_0000,85.57251,27.771051,14.81
2026-08-26_0800,85.352783,27.82936,78.46
2026-08-26_0800,85.155029,27.945886,-85.16
2026-08-26_0800,85.177002,27.907058,-62.46
2026-08-26_0800,85.133057,27.868216,-77.99
2026-08-26_0800,85.330811,27.82936,-14.06
2026-08-26_0800,85.24292,27.907058,-62.67
2026-08-26_0800,85.308838,27.790491,10.41
2026-08-26_0800,85.220947,27.771051,-14.14
2026-08-26_0800,85.770264,27.82936,27.04
2026-08-26_0800,84.91333,27.809927,-70.44
2026-08-26_0800,85.57251,27.771051,17.63
2026-08-26_0800,85.286865,27.926474,-53.82
2026-08-26_0800,85.264893,27.868216,-40.25
2026-08-26_0800,85.638428,27.965294,-21.5
2026-08-26_0800,85.748291,27.71271,19.45
2026-08-26_0800,85.594482,27.771051,13.5
2026-08-26_0800,85.286865,27.887639,-56.46
2026-08-26_0800,85.155029,27.926474,-81.81
2026-08-26_0800,85.286865,27.84879,-48.82
2026-08-26_0800,85.089111,27.771051,-15.58
2026-08-26_0800,85.286865,27.907058,-47.66
2026-08-26_0800,84.957275,27.82936,-56.09
2026-08-26_0800,85.155029,27.907058,-52.69
2026-08-26_0800,85.133057,27.926474,-61.06
2026-08-26_0800,85.6604,27.945886,-17.57
2026-08-26_0800,85.111084,27.868216,-84.7
2026-08-26_0800,85.528564,27.887639,29.4
2026-08-26_0800,84.957275,27.809927,-63.09
2026-08-26_0800,85.528564,27.809927,-10.65
2026-08-26_0800,85.770264,27.73216,16.8
2026-08-26_0800,85.6604,27.73216,-10.22
2026-08-26_0800,85.726318,27.71271,18.23
2026-08-26_0800,85.594482,27.82936,11.6
