"rm_id","rm_name","dt","n_baseline","n_crisis","percent_change","pct_estimated"
"92635248B17565358300348","Sunkoshi","2026-08-26_0000",291.0,334.0,14.67,0.0
"92635248B17565358300348","Sunkoshi","2026-08-26_0800",172.0,188.0,9.28,0.0
"92635248B17565358300348","Sunkoshi","2026-08-26_1600",257.0,286.0,11.43,0.0
"92635248B17565358300348","Sunkoshi","2026-08-27_0000",293.0,308.0,5.31,0.0
"92635248B17565358300348","Sunkoshi","2026-08-27_0800",171.0,165.0,-3.46,0.0
"92635248B17565358300348","Sunkoshi","2026-08-27_1600",257.0,232.0,-9.74,0.0
"92635248B17565358300348","Sunkoshi","2026-08-28_0000",300.0,310.0,3.43,0.0
"92635248B17565358300348","Sunkoshi","2026-08-28_0800",183.0,191.0,4.07,0.0
"92635248B17565358300348","Sunkoshi","2026-08-28_1600",254.0,262.0,3.39,0.0
"92635248B17565358300348","Sunkoshi","2026-08-29_0000",291.0,293.0,0.56,0.0
"92635248B17565358300348","Sunkoshi","2026-08-29_0800",177.0,175.0,-1.28,0.0
"92635248B17565358300348","Sunkoshi","2026-08-29_1600",254.0,244.0,-4.07,0.0
"92635248B17565358300348","Sunkoshi","2026-08-30_0000",281.0,293.0,4.41,0.0
"92635248B17565358300348","Sunkoshi","2026-08-30_0800",171.0,167.0,-2.09,0.0
"92635248B17565358300348","Sunkoshi","2026-08-30_1600",251.0,272.0,8.26,0.0
"92635248B17565358300348","Sunkoshi","2026-08-31_0000",290.0,315.0,8.81,0.0
"92635248B17565358300348","Sunkoshi","2026-08-31_0800",169.0,164.0,-3.02,0.0
"92635248B17565358300348","Sunkoshi","2026-08-31_1600",251.0,260.0,3.73,0.0
"92635248B17565358300348","Sunkoshi","2026-09-01_0000",298.0,299.0,0.41,0.0
"92635248B17565358300348","Sunkoshi","2026-09-01_0800",175.0,151.0,-13.56,0.0
"92635248B17565358300348","Sunkoshi","2026-09-01_1600",248.0,264.0,6.18,0.0
"92635248B17565358300348","Sunkoshi","2026-09-02_0000",291.0,304.0,4.45,0.0
"92635248B17565358300348","Sunkoshi","2026-09-02_0800",172.0,162.0,-5.61,0.0
"92635248B17565358300348","Sunkoshi","2026-09-02_1600",257.0,264.0,2.93,0.0
"92635248B17565358300348","Sunkoshi","2026-09-03_0000",293.0,285.0,-2.81,0.0
"92635248B17565358300348","Sunkoshi","2026-09-03_0800",171.0,138.0,-19.16,0.0
"92635248B17565358300348","Sunkoshi","2026-09-03_1600",257.0,246.0,-4.3,0.0
"92635248B17565358300348","Sunkoshi","2026-09-04_0000",300.0,274.0,-8.59,0.0
"92635248B17565358300348","Sunkoshi","2026-09-04_0800",183.0,148.0,-19.56,0.0
"92635248B17565358300348","Sunkoshi","2026-09-04_1600",254.0,234.0,-7.8,0.0
"92635248B17565358300348","Sunkoshi","2026-09-05_0000",291.0,271.0,-6.92,0.0
"92635248B17565358300348","Sunkoshi","2026-09-05_0800",177.0,145.0,-18.47,0.0
"92635248B17565358300348","Sunkoshi","2026-09-05_1600",254.0,238.0,-6.52,0.0
"92635248B17565358300348","Sunkoshi","2026-09-06_0000",281.0,278.0,-0.86,0.0
"92635248B17565358300348","Sunkoshi","2026-09-06_0800",171.0,146.0,-14.26,0.0
"92635248B17565358300348","Sunkoshi","2026-09-06_1600",251.0,250.0,-0.59,0.0
"92635248B18396594109429","Dhunibesi","2026-08-26_0000",4163.0,4534.0,8.92,0.0
"92635248B18396594109429","Dhunibesi","2026-08-26_0800",3403.0,3608.0,6.01,0.0
"92635248B18396594109429","Dhunibesi","2026-08-26_1600",3832.0,3907.0,1.96,0.0
"92635248B18396594109429","Dhunibesi","2026-08-27_0000",4203.0,4285.0,1.94,0.0
