gauge_id,lat,lng,warningThreshold,dangerThreshold,extremeDangerThreshold,gaugeValueUnit,v_2026-08-24T00:00:00Z,v_2026-08-25T00:00:00Z,v_2026-08-26T00:00:00Z,v_2026-08-27T00:00:00Z,v_2026-08-28T00:00:00Z,v_2026-08-29T00:00:00Z,v_2026-08-30T00:00:00Z,v_2026-08-31T00:00:00Z,v_2026-09-01T00:00:00Z,v_2026-09-02T00:00:00Z,v_2026-09-03T00:00:00Z,v_2026-09-04T00:00:00Z
hybas_4121459880,28.2729,85.2604,25.60,29.31,33.38,CUBIC_METERS_PER_SECOND,19.73,18.35,19.75,18.96,18.44,19.03,19.08,18.98,20.84,20.01,19.59,18.96
hybas_4121462520,28.0687,85.7521,37.65,41.64,46.97,CUBIC_METERS_PER_SECOND,23.14,21.79,25.38,26.20,23.75,25.23,26.30,26.93,27.12,26.46,25.26,23.57
hybas_4120824950,28.1687,85.3437,309.10,345.30,381.08,CUBIC_METERS_PER_SECOND,209.85,203.79,214.50,206.54,202.88,224.13,217.29,220.71,228.21,217.36,210.16,198.89
hybas_4120833730,27.8562,85.1146,170.18,189.94,212.39,CUBIC_METERS_PER_SECOND,93.74,92.49,100.78,95.23,93.23,103.09,101.44,106.90,109.30,108.16,108.00,108.37
hybas_4121463550,27.9979,85.7896,57.45,63.58,71.41,CUBIC_METERS_PER_SECOND,35.14,34.02,38.06,36.38,35.27,36.29,36.99,38.25,39.06,38.56,37.24,35.50
hybas_4120834320,27.8396,85.5812,90.87,100.63,109.88,CUBIC_METERS_PER_SECOND,55.19,54.11,61.25,57.38,55.21,62.06,60.74,64.95,64.73,64.43,64.37,62.36
hybas_4120830670,27.9771,85.1812,523.51,589.59,658.78,CUBIC_METERS_PER_SECOND,402.56,386.31,419.56,414.21,422.85,431.38,437.28,436.85,436.37,425.48,411.34,397.26
hybas_4120835410,27.8062,85.0062,852.87,979.40,1123.29,CUBIC_METERS_PER_SECOND,561.58,534.10,599.10,585.89,567.21,622.11,619.05,630.46,640.97,632.06,622.40,602.96
hybas_4121462230,28.0896,85.0062,87.55,94.96,102.55,CUBIC_METERS_PER_SECOND,64.02,61.84,69.64,66.15,64.88,67.61,66.20,67.30,71.23,70.56,68.18,67.24
hybas_4120838820,27.7146,85.6729,29.90,35.56,42.68,CUBIC_METERS_PER_SECOND,15.95,15.65,17.30,15.94,15.05,17.25,16.25,17.44,18.27,17.97,18.49,18.16
hybas_4120835140,27.8146,85.0146,802.92,920.17,1047.39,CUBIC_METERS_PER_SECOND,535.98,513.70,577.37,567.32,543.26,584.64,585.70,590.93,599.56,593.63,582.28,568.70
hybas_4120838220,27.7354,85.7854,376.22,427.47,491.64,CUBIC_METERS_PER_SECOND,243.00,234.48,254.52,251.49,243.61,260.96,268.06,274.64,286.12,281.03,274.45,263.40
hybas_4121460650,28.2104,85.6687,26.32,29.85,34.05,CUBIC_METERS_PER_SECOND,17.01,16.34,18.04,17.63,17.52,18.22,17.66,17.28,17.15,16.79,15.86,15.01
hybas_4121465680,27.8479,85.7687,146.85,166.62,190.90,CUBIC_METERS_PER_SECOND,78.90,77.81,87.03,84.22,80.70,87.40,84.22,87.86,89.03,87.68,87.54,86.66
hybas_4120832310,27.9062,85.2312,94.17,105.76,118.30,CUBIC_METERS_PER_SECOND,51.93,53.03,60.49,54.78,55.42,62.92,60.24,63.30,62.89,62.94,62.86,62.05
hybas_4121460790,28.1979,85.5854,43.01,49.94,58.66,CUBIC_METERS_PER_SECOND,27.20,25.48,27.92,27.33,27.87,26.91,28.69,29.33,29.86,28.60,26.46,25.46
hybas_4120835730,27.7979,85.0062,81.39,101.46,124.06,CUBIC_METERS_PER_SECOND,37.30,36.47,37.36,36.35,33.12,35.44,34.16,37.36,40.67,40.74,41.05,40.84
hybas_4120824170,28.1937,85.0771,22.48,24.40,26.29,CUBIC_METERS_PER_SECOND,16.54,15.64,17.49,16.37,16.25,16.87,16.97,17.21,18.14,17.73,17.02,16.87
hybas_4121463120,28.0312,84.9646,110.10,119.23,128.00,CUBIC_METERS_PER_SECOND,82.04,79.12,91.66,84.58,83.95,87.49,87.71,87.91,93.70,92.24,88.69,88.81
hybas_4120825270,28.1604,85.3479,103.08,115.84,131.57,CUBIC_METERS_PER_SECOND,64.39,60.02,66.08,63.56,62.54,66.66,68.57,68.52,68.97,66.83,64.64,62.52
hybas_4120824370,28.1854,85.3437,258.27,291.64,323.40,CUBIC_METERS_PER_SECOND,181.05,175.66,187.71,179.39,179.67,200.80,195.12,199.89,210.11,201.64,193.12,181.57
hybas_4120832500,27.8979,85.2312,43.24,49.85,56.60,CUBIC_METERS_PER_SECOND,21.99,21.83,23.28,22.05,21.52,22.81,22.96,23.87,23.86,23.72,23.60,23.71
hybas_4120821280,28.2812,85.3729,135.51,158.97,182.42,CUBIC_METERS_PER_SECOND,101.91,92.91,95.23,96.28,94.11,103.87,110.14,109.15,110.10,105.01,99.25,93.58
hybas_4120830680,27.9771,85.1896,31.07,35.83,41.53,CUBIC_METERS_PER_SECOND,18.02,16.72,18.05,17.26,16.71,18.11,18.34,19.51,20.22,20.19,20.17,20.09
hybas_4121458930,28.3396,84.9021,401.34,458.16,523.04,CUBIC_METERS_PER_SECOND,251.16,237.32,255.19,265.56,257.78,280.90,289.53,284.86,285.77,273.59,266.63,255.92
