rm_id,rm_name,dt,tiles_baseline,tiles_lost,pct_without_coverage
92635248B17565358300348,Sunkoshi,2026-08-26_0000,12,0,0.0
92635248B18396594109429,Dhunibesi,2026-08-26_0000,21,0,0.0
92635248B19512638064374,Kalika,2026-08-26_0000,7,0,0.0
92635248B20362312610605,Panchkhal,2026-08-26_0000,23,0,0.0
92635248B23618906148617,Panchpokhari Thangpal,2026-08-26_0000,25,1,0.04
92635248B24266009844664,Tadi,2026-08-26_0000,6,0,0.0
92635248B25863663482910,Helambu,2026-08-26_0000,21,3,0.1429
92635248B2872161047320,Budhanilakantha,2026-08-26_0000,7,0,0.0
92635248B30352350789557,Gosaikunda,2026-08-26_0000,22,6,0.2727
92635248B305631733846,Panchakanya,2026-08-26_0000,12,0,0.0
92635248B33637774042411,Kakani,2026-08-26_0000,18,0,0.0
92635248B35177440058329,Shivapuri Watershed and Wildlife Reserve,2026-08-26_0000,2,0,0.0
92635248B36445886140497,Dupcheshwar,2026-08-26_0000,13,0,0.0
92635248B3914868323660,Tarakeshwor,2026-08-26_0000,8,0,0.0
92635248B43171846256071,Nagarjun,2026-08-26_0000,5,0,0.0
92635248B43375601040542,Indrawati,2026-08-26_0000,12,0,0.0
92635248B43956313817165,Belkotgadhi,2026-08-26_0000,30,0,0.0
92635248B45876172984247,Kageshwori Manahora,2026-08-26_0000,6,0,0.0
92635248B46571941754675,Jugal,2026-08-26_0000,19,0,0.0
92635248B4772816067977,Gangajamuna,2026-08-26_0000,13,0,0.0
92635248B47783309690674,Nilakantha,2026-08-26_0000,32,6,0.1875
92635248B48041942094289,Gokarneshwor,2026-08-26_0000,8,0,0.0
92635248B48688848444918,Gajuri,2026-08-26_0000,8,0,0.0
92635248B4986007089079,Dharche,2026-08-26_0000,10,0,0.0
92635248B51256129586947,Changunarayan,2026-08-26_0000,12,0,0.0
92635248B53559033029587,Shankharapur,2026-08-26_0000,11,0,0.0
92635248B54382896791990,Madhyapur Thimi,2026-08-26_0000,3,0,0.0
92635248B5445652462419,Suryagadhi,2026-08-26_0000,10,1,0.1
92635248B54948506336745,Chum Nubri,2026-08-26_0000,5,0,0.0
92635248B55958627439397,Shivapuri,2026-08-26_0000,18,0,0.0
92635248B56940740579248,Barhabise,2026-08-26_0000,21,2,0.0952
92635248B60445344966626,Meghang,2026-08-26_0000,20,4,0.2
92635248B60784306991744,Tripura Sundari,2026-08-26_0000,9,0,0.0
92635248B62046464792266,Netrawati,2026-08-26_0000,9,4,0.4444
92635248B62642439200605,Chautara SangachokGadhi,2026-08-26_0000,30,0,0.0
92635248B63118297072064,Balefi,2026-08-26_0000,10,0,0.0
92635248B64074432572085,Uttargaya,2026-08-26_0000,10,0,0.0
92635248B66096559065694,Galchi,2026-08-26_0000,18,0,0.0
92635248B68397384728703,Aarughat,2026-08-26_0000,12,0,0.0
92635248B68525684212789,Tarkeshwar,2026-08-26_0000,16,2,0.125
92635248B68533478650104,Thakre,2026-08-26_0000,21,0,0.0
92635248B69277423418155,Chandragiri,2026-08-26_0000,9,0,0.0
92635248B69318511512389,Mandandeupur,2026-08-26_0000,15,1,0.0667
92635248B69748389600023,Kathmandu,2026-08-26_0000,11,0,0.0
92635248B71277389600816,Naukunda,2026-08-26_0000,10,0,0.0
92635248B72590676446573,Bidur,2026-08-26_0000,25,0,0.0
92635248B73416509412594,Tokha,2026-08-26_0000,4,0,0.0
92635248B77392965640149,Siddhalek,2026-08-26_0000,20,0,0.0
92635248B79488873426228,Rubi Valley,2026-08-26_0000,13,0,0.0
92635248B83619346597878,Kispang,2026-08-26_0000,12,1,0.0833
92635248B86541261588188,Khaniyabash,2026-08-26_0000,10,2,0.2
92635248B87016090447008,Likhu,2026-08-26_0000,11,0,0.0
92635248B88481679786319,Parbati Kunda,2026-08-26_0000,12,5,0.4167
92635248B9122129493010,Bhotekoshi,2026-08-26_0000,17,0,0.0
92635248B93894813806429,Melamchi,2026-08-26_0000,33,0,0.0
92635248B94688953787755,Thaha,2026-08-26_0000,35,0,0.0
92635248B17565358300348,Sunkoshi,2026-08-27_0000,12,0,0.0
92635248B18396594109429,Dhunibesi,2026-08-27_0000,21,0,0.0
92635248B19512638064374,Kalika,2026-08-27_0000,7,4,0.5714
92635248B20362312610605,Panchkhal,2026-08-27_0000,23,0,0.0
92635248B23618906148617,Panchpokhari Thangpal,2026-08-27_0000,25,2,0.08
92635248B24266009844664,Tadi,2026-08-27_0000,6,0,0.0
92635248B25863663482910,Helambu,2026-08-27_0000,21,3,0.1429
92635248B2872161047320,Budhanilakantha,2026-08-27_0000,7,0,0.0
92635248B30352350789557,Gosaikunda,2026-08-27_0000,22,7,0.3182
92635248B305631733846,Panchakanya,2026-08-27_0000,12,0,0.0
92635248B33637774042411,Kakani,2026-08-27_0000,18,1,0.0556
