rm_name,rm_type,lat,lng,source,beds,alt_name
अक्सफर्ड बोर्डिङ स्कुल,school,27.7202,85.3018,OSM infrastructure,,
मनमोहन मेमोरियल अस्पताल,hospital,27.7179,85.3112,OSM infrastructure,,
सैनिक अस्पताल,hospital,27.7114,85.2913,OSM + Healthsites,,
धन्वन्तरी आयुर्वेद अस्पताल तथा अनुसन्धान केन्द्र,hospital,27.7324,85.3444,OSM + Healthsites,,
सचदेवा संस्थान,school,27.7033,85.3192,OSM infrastructure,,
आरोग्य आश्रम,hospital,27.7178,85.3305,OSM + Healthsites,,
सहयोगी बैकलपिक विद्यालय,school,27.7210,85.3316,OSM infrastructure,,
शुसिला कला एकेडेमी,school,27.7386,85.3437,OSM infrastructure,,
न्यु सम्मिट विद्यालय,school,27.7039,85.3333,OSM infrastructure,,
बेगीनर्स होम एकेडेमी,school,27.7009,85.3220,OSM infrastructure,,
काठमाडौं उपत्यका शिक्षा केन्द्र,school,27.7018,85.3221,OSM infrastructure,,
अमेरिकन एजुकेशन फाउण्डेशन,school,27.7029,85.3226,OSM infrastructure,,
राइजिङ रे बोर्डिङ स्कूल,school,27.7026,85.3230,OSM infrastructure,,
सिमा सीए वर्गहरू क्लासेस,school,27.7022,85.3244,OSM infrastructure,,
भाइब्रेन्ट प्रवेश तयारी संस्था ,school,27.7011,85.3238,OSM infrastructure,,
Universal language and computer institute,school,27.7050,85.3250,OSM infrastructure,,
काठमाडौं अंग्रेजी विद्यालय,school,27.7133,85.3324,OSM infrastructure,,
वेस्टवुड  इन्टरनेसनल प्री विद्यालय,school,27.7226,85.3134,OSM infrastructure,,
किन्डर केयर इन्टरनेसनल,school,27.7204,85.3096,OSM infrastructure,,
सेक्रेड कोस्मोस इन्टरनेशनल एजुकेशन फाउन्डेशन प्रि-स्कूल,school,27.7261,85.3132,OSM infrastructure,,
क्युट चाइल्ड मन्टेश्वरी,school,27.7284,85.3127,OSM infrastructure,,
CIWEC Hospital,hospital,27.7203,85.3179,OSM + Healthsites,,
अन्तर्राष्ट्रिय फ्रान्सेली विद्यालय-इकोल फ्रान्सेइज इन्टरनेसनल,school,27.7251,85.3246,OSM infrastructure,,
गोरखा शिक्षा तथा करियर संस्थान,school,27.7240,85.3242,OSM infrastructure,,
सुब्बा मेडिकल सेन्टर प्रा. लि,hospital,27.7378,85.3230,OSM + Healthsites,,
एकता सदन आवासीय विद्यालय,school,27.7166,85.3336,OSM infrastructure,,
मिल्स बेरी स्कूल,school,27.7208,85.3192,OSM infrastructure,,
कुन्फेन तिब्बती चिकित्सा,hospital,27.7131,85.3092,OSM + Healthsites,,
यती अस्पताल,hospital,27.7025,85.2824,OSM + Healthsites,,
सान्द्रा नमुना विद्यालय,school,27.7195,85.3096,OSM infrastructure,,
वेस्टवुड इन्टरनेसनल प्री विद्यालय,school,27.7227,85.3134,OSM infrastructure,,
Mahadev Basi Helth post,hospital,27.7498,85.0669,OSM + Healthsites,,
दिव्या संजीवनी अस्पताल,hospital,27.7066,85.2868,OSM + Healthsites,,
Padmakanya Vidyashram H.S. School and College,school,27.7053,85.3260,OSM infrastructure,,
नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,hospital,27.7011,85.3116,OSM + Healthsites,,
नेपाल प्रहरी अस्पताल,hospital,27.7310,85.3236,OSM + Healthsites,,
,hospital,27.7297,85.3811,OSM + Healthsites,,
मनोहरा माध्यमिक विद्यालय,school,27.7057,85.4095,OSM infrastructure,,
बेला प्रि स्कुल,school,27.7056,85.2954,OSM infrastructure,,
Gosaikunda English Reading School,school,28.1643,85.3389,OSM infrastructure,,
तारिनी स्वास्थ्य केन्द्र,hospital,27.7050,85.3084,OSM + Healthsites,,
नेपाली महारिसी फाउन्डेसन फर भैदिक कल्चर,school,27.7113,85.3399,OSM infrastructure,,
सेतो बंगला आवासीय विद्यालय,school,27.7117,85.3380,OSM infrastructure,,
श्री बाल बयाबासाई केन्द्र माध्यमिक विद्यालय,school,27.7110,85.3406,OSM infrastructure,,
,hospital,27.7175,85.3476,OSM + Healthsites,,
लिसेम मोडेल विद्यालय,school,27.7149,85.3405,OSM infrastructure,,
Shree Sanjiwani Primary School,school,27.7403,85.5273,OSM infrastructure,,
मानसरोवास एकेडेमी,school,27.7269,85.3644,OSM infrastructure,,
,dam,27.7529,85.8383,OSM infrastructure,,
संस्कृती अन्तर्राष्ट्रिय विद्यालय,school,27.7188,85.2863,OSM infrastructure,,
Nepal Vipassana Meditation centre,school,27.7906,85.3711,OSM infrastructure,,
Kakani Brighter School,school,27.8175,85.2457,OSM infrastructure,,
,hospital,28.1422,85.3365,OSM + Healthsites,,
Healthpost,hospital,28.1758,85.0862,OSM + Healthsites,,
रसायन विज्ञान विभाग,school,27.7089,85.3162,OSM infrastructure,,
जीवविज्ञान विभाग,school,27.7087,85.3158,OSM infrastructure,,
भौतिकशास्त्र विभाग,school,27.7087,85.3162,OSM infrastructure,,
Lagarche Health Post,hospital,27.8685,85.6162,OSM + Healthsites,,
,school,27.7118,85.2878,OSM infrastructure,,
अनाथ विद्यालय,school,27.7121,85.2882,OSM infrastructure,,
Gauri Shankar Ni Ma Vi,school,27.9285,84.9956,OSM infrastructure,,
नेचर विद्यालय,school,27.7361,85.3175,OSM infrastructure,,
Apex Life School,school,27.7010,85.3397,OSM infrastructure,,
"Dhulikhel Hospital Outreach Centre, Manekharka",hospital,27.9376,85.6520,OSM + Healthsites,,
रुपी विद्यालय,school,27.7041,85.2861,OSM infrastructure,,
JosephPublic school,school,27.7273,85.3579,OSM infrastructure,,
काठमाडौं मेडिकल कलेज,hospital,27.7016,85.3276,OSM + Healthsites,,
चा: माटी ड्राइभिङ स्कुल,school,27.7230,85.2998,OSM infrastructure,,
Gramin Devi Secondary School,school,27.8470,85.3288,OSM infrastructure,,
अर्किड इन्टरनेशनल कलेज,school,27.7023,85.3466,OSM infrastructure,,
बिजेश्वरी ज्ञान मन्दिर सैनिक महाविद्यालय,school,27.7122,85.2976,OSM infrastructure,,
स्वीट हार्ट मोन्टेस्सोरी र डे केयर,school,27.7355,85.2965,OSM infrastructure,,
क्यान्भास बसन्त रितु अंग्रेजी बोर्डिङ स्कुल,school,27.7267,85.3167,OSM infrastructure,,
Nepal Army School,school,27.7082,85.5191,OSM infrastructure,,
श्री कालिका माध्यमिक विद्यालय,school,27.7108,85.4873,OSM infrastructure,,
माल्पी विज्ञान प्रयोगशाला,school,27.7236,85.3288,OSM infrastructure,,
एस.ई.आर.सी. विद्यालय,school,27.7308,85.3300,OSM infrastructure,,
IDA,school,27.7151,85.3431,OSM infrastructure,,
"Shree Mahakali Ma.Vi., Giran Chaur",school,27.7881,85.5552,OSM infrastructure,,
,school,27.9223,85.1406,OSM infrastructure,,
Nuwakot Adarsa Multiple Campus,school,27.8988,85.1459,OSM infrastructure,,
,hospital,27.9015,85.1458,OSM + Healthsites,,
वेस्टवुड इन्टरनेशनल स्कूल,school,27.7021,85.2936,OSM infrastructure,,
Universal English Boarding School,school,27.9180,85.2941,OSM infrastructure,,
शिन्वा कोरियन भाषा,school,27.7055,85.3205,OSM infrastructure,,
आईडीपी अष्ट्रेलिया,school,27.7182,85.3190,OSM infrastructure,,
Kalika Community Hospital,hospital,27.9939,85.2035,OSM + Healthsites,,
नार्कोडिल पब्लिक स्कूल,school,27.7496,85.4129,OSM infrastructure,,
,school,28.2196,85.2964,OSM infrastructure,,
हिमावारी जापानी परामर्श,school,27.7051,85.3280,OSM infrastructure,,
प्राइम कलेज,school,27.7170,85.3028,OSM infrastructure,,
युनिग्लोब उच्च माध्यमिक विद्यालय,school,27.7074,85.3191,OSM infrastructure,,
चाइना हस्पिटल (पी) लिमिटेड,hospital,27.7205,85.3622,OSM + Healthsites,,
,school,27.7598,85.8004,OSM infrastructure,,
,school,27.7228,85.2710,OSM infrastructure,,
,school,27.9179,85.1452,OSM infrastructure,,
व्हाइट फिल्ड स्कूल,school,27.7114,85.3061,OSM infrastructure,,
,school,27.7620,85.3007,OSM infrastructure,,
ईलाईट बैदेशिक स्टडिज,school,27.7001,85.3441,OSM infrastructure,,
,school,27.7791,85.3637,OSM infrastructure,,
सानो संसार,school,27.7208,85.3711,OSM infrastructure,,
डफोडिल आवासीय स्कुल-जुनियर विंग,school,27.7265,85.3554,OSM infrastructure,,
कपन अस्पताल,hospital,27.7348,85.3602,OSM + Healthsites,,
पीपुल्स डेंटल कलेज र अस्पताल,hospital,27.7190,85.3091,OSM + Healthsites,,
प्राइम इन्टरनेशनल एजुकेशन प्रा. लि.,school,27.7156,85.3462,OSM infrastructure,,
सेभेन हिल्स फाउण्डेशन (एजुकेशन कन्सल्टेन्सी),school,27.7030,85.3217,OSM infrastructure,,
,school,27.7641,85.5343,OSM infrastructure,,
,school,27.7768,85.3626,OSM infrastructure,,
,school,27.7025,85.3218,OSM infrastructure,,
Shree Neelkanta Higher Sec School,school,27.9786,85.1841,OSM infrastructure,,
इन्टर्नशिप नेपाल,school,27.7313,85.3307,OSM infrastructure,,
स्वाकोन अन्तर्राष्ट्रिय अस्पताल (काठमाडौं),hospital,27.7042,85.3364,OSM + Healthsites,,
महान सिद्धार्थ उच्च माध्यमिक विद्यालय,school,27.7157,85.3568,OSM infrastructure,,
मनोराम प्रि-स्कूल,school,27.7379,85.3487,OSM infrastructure,,
,school,27.7368,85.3481,OSM infrastructure,,
बेथेल अंग्रेजी र कम्प्युटर संस्थान,school,27.7373,85.3493,OSM infrastructure,,
आस्ना शिक्षा संस्थान,school,27.7389,85.3370,OSM infrastructure,,
काष्ठमण्डप ए लेभल एकेडेमी,school,27.7360,85.3481,OSM infrastructure,,
मोक्षदा विद्यालय,school,27.7131,85.3554,OSM infrastructure,,
प्रस्तावित इशान महिला तथा बालबालिका अस्पताल,hospital,27.7446,85.3335,OSM + Healthsites,,
पेडिअट्रिक्स,hospital,27.7366,85.3306,OSM + Healthsites,,
ज्ञान मन्दिर माध्यमिक ब्लाक बी,school,27.7317,85.2979,OSM infrastructure,,
,school,27.7769,85.3644,OSM infrastructure,,
,school,27.7732,85.3712,OSM infrastructure,,
,school,27.7607,85.3498,OSM infrastructure,,
पद्मोदया उच्च माध्यमिक विद्यालय,school,27.7015,85.3218,OSM infrastructure,,
ग्रान्डी सिटी अस्पताल,hospital,27.7110,85.3147,OSM + Healthsites,,
,hospital,28.0168,85.1692,OSM + Healthsites,,
