rm_id,rm_name,dt,tiles_baseline,tiles_lost,pct_without_coverage
79688334B17077666187877,Nuwakot,2026-08-26_0000,201,13,0.0647
79688334B45086844065391,Sindhupalchok,2026-08-26_0000,217,0,0.0
79688334B4770070965791,Makawanpur,2026-08-26_0000,297,0,0.0
79688334B50883418539268,Rasuwa,2026-08-26_0000,57,8,0.1404
79688334B6633706619717,Kabherepalanchok,2026-08-26_0000,201,0,0.0
79688334B75108943206003,Kathmandu,2026-08-26_0000,89,0,0.0
79688334B79703604543181,Dhading,2026-08-26_0000,193,7,0.0363
79688334B89468852374463,Bhaktapur,2026-08-26_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-26_0000,204,0,0.0
79688334B17077666187877,Nuwakot,2026-08-27_0000,201,21,0.1045
79688334B45086844065391,Sindhupalchok,2026-08-27_0000,217,1,0.0046
79688334B4770070965791,Makawanpur,2026-08-27_0000,297,0,0.0
79688334B50883418539268,Rasuwa,2026-08-27_0000,57,24,0.4211
79688334B6633706619717,Kabherepalanchok,2026-08-27_0000,201,0,0.0
79688334B75108943206003,Kathmandu,2026-08-27_0000,89,0,0.0
79688334B79703604543181,Dhading,2026-08-27_0000,193,3,0.0155
79688334B89468852374463,Bhaktapur,2026-08-27_0000,20,0,0.0
79688334B93802880856426,Gorkha,2026-08-27_0000,204,0,0.0
